Date,Time,Daily_new,Cumulative,Cum_male,Cum_female,Days
2021年6月30日,24时,0,554,-,-,530
2021年7月1日,24时,0,554,-,-,531
2021年7月2日,24时,0,554,-,-,532
2021年7月3日,24时,0,554,-,-,533
2021年7月4日,24时,0,554,-,-,534
2021年7月5日,24时,0,554,-,-,535
2021年7月6日,24时,0,554,-,-,536
2021年7月7日,24时,0,554,-,-,537
2021年7月8日,24时,0,554,-,-,538
2021年7月9日,24时,0,554,-,-,539
2021年7月10日,24时,0,554,-,-,540
2021年7月11日,24时,0,554,-,-,541
2021年7月12日,24时,0,554,-,-,542
2021年7月13日,24时,0,554,-,-,543
2021年7月14日,24时,0,554,-,-,544
2021年7月15日,24时,0,554,-,-,545
2021年7月16日,24时,0,554,-,-,546
2021年7月17日,24时,0,554,-,-,547
2021年7月18日,24时,3,557,-,-,548
2021年7月19日,24时,1,558,-,-,549
2021年7月20日,24时,0,558,-,-,550
2021年7月21日,24时,1,559,-,-,551
2021年7月22日,24时,1,560,-,-,552
2021年7月23日,24时,0,560,-,-,553
2021年7月24日,24时,0,560,-,-,554
2021年7月25日,24时,2,562,-,-,555
2021年7月26日,24时,0,562,-,-,556
2021年7月27日,24时,0,562,-,-,557
2021年7月28日,24时,0,562,-,-,558
2021年7月29日,24时,0,562,-,-,559
2021年7月30日,24时,0,562,-,-,560
2021年7月31日,24时,1,563,-,-,561
2021年8月1日,24时,0,563,-,-,562
2021年8月2日,24时,0,563,-,-,563
2021年8月3日,24时,0,563,-,-,564
2021年8月4日,24时,0,563,-,-,565
2021年8月5日,24时,1,564,-,-,566
2021年8月6日,24时,0,564,-,-,567
2021年8月7日,24时,0,564,-,-,568
2021年8月8日,24时,2,566,-,-,569
2021年8月9日,24时,0,566,-,-,570
2021年8月10日,24时,0,566,-,-,571
2021年8月11日,24时,1,567,-,-,572
2021年8月12日,24时,2,569,-,-,573
2021年8月13日,24时,0,569,-,-,574
2021年8月14日,24时,0,569,-,-,575
2021年8月15日,24时,0,569,-,-,576
2021年8月16日,24时,0,569,-,-,577
2021年8月17日,24时,0,569,-,-,578
2021年8月18日,24时,0,569,-,-,579
2021年8月19日,24时,0,569,-,-,580
2021年8月20日,24时,0,569,-,-,581
2021年8月21日,24时,1,570,-,-,582
2021年8月22日,24时,1,571,-,-,583
2021年8月23日,24时,0,571,-,-,584
2021年8月24日,24时,0,571,-,-,585
2021年8月25日,24时,1,572,-,-,586
2021年8月26日,24时,1,573,-,-,587
2021年8月27日,24时,0,573,-,-,588
